Location ,	Latitude,Longitude,Count,,
Assam,26.2006,92.9376,351,47more in ,done
Rajasthan,26.814882,75.545647,104,,
West Bengal ,22.49814,88.310837,63,,
Himachal Pradesh,32.1024,77.5619,54,,
Kerala,9.99848,76.311935,47,,
Gujarat,23.003992,72.546074,43,,
Haryana,28.460596,77.039597,30,,
Maharashtra,19.035288,72.867119,29,4 more Bombay,Done
Uttarakhand,30.0668,79.0193,28,,
Tamil Nadu,13.010236,80.215652,17,,
Bihar,25.892298,86.598106,17,,
Delhi,28.558899,77.202805,15,,
Odisha,20.228069,86.26609,14,,
Punjab,30.678722,76.722153,7,,
Telangana,18.1124,79.0193,5,14 more from hydrabad,
